#{"t_start": 1744321262.6129818, "env_id": "None"}
r,l,t
44.050026,105,672.923959
42.470066,103,673.775495
387.98956,421,676.782706
115.0799,212,678.417468
42.260063,104,679.423166
41.330067,107,680.196853
178.90973,299,683.140557
412.26978,433,686.036079
164.83994,276,688.145645
175.35974,294,690.233227
41.28006,102,691.100613
163.04994,275,692.990644
48.700012,110,693.965337
49.160034,104,694.681657
410.0197,443,698.620512
407.52972,477,701.616907
95.15998,169,702.753275
50.380035,102,703.648634
42.400078,110,704.479649
225.22958,357,706.443908
48.57003,103,706.998756
159.80984,269,708.273067
155.65973,259,709.476879
410.2798,432,712.35365
42.650063,105,712.950541
50.89003,101,713.527143
369.3797,422,715.47186
162.27985,272,716.764969
48.15004,105,717.326569
404.9297,437,719.277784
160.85982,274,720.546177
407.9596,444,723.620536
71.85001,125,724.282827
160.40984,269,725.466773
157.37975,267,726.758944
41.150063,105,727.362421
225.3496,365,729.078426
368.68954,401,730.911283
47.900047,100,731.4983
47.760017,104,733.121493
368.1696,403,734.960322
43.76006,104,735.531014
410.3397,436,737.457047
42.86006,104,738.012734
164.3199,278,739.321707
49.680023,112,739.969846
50.050034,105,740.557763
157.73973,276,741.802722
226.56961,363,744.431757
181.89961,290,745.755503
48.570023,103,746.305919
404.40967,439,748.258801
412.89966,440,750.22184
227.33963,356,751.867087
48.75004,105,752.456809
47.33004,107,753.059404
176.54977,295,755.475097
50.540047,106,756.066728
161.0398,276,757.450527
225.35953,414,759.467575
165.24,276,760.685107
161.7798,272,762.151886
97.75997,169,763.113386
407.54974,440,766.566727
49.29003,101,767.222878
47.130035,107,767.870773
387.1896,401,769.946489
48.590027,101,770.636575
49.260033,104,771.2754
158.08978,271,772.538745
47.12004,108,773.164743
410.0996,440,775.246149
161.6899,271,777.574671
119.32992,207,778.596015
50.620033,108,779.217745
41.75007,105,779.788636
69.78002,122,780.432436
411.92966,437,782.357687
224.90952,359,783.977859
406.85956,434,785.967365
42.57006,103,786.563869
50.630035,107,787.161303
42.870056,103,788.721901
181.51978,288,789.986291
411.60968,439,791.935802
49.61003,109,792.552743
228.1995,355,794.199522
227.33957,356,795.861924
50.340034,106,796.472293
49.470047,103,797.011765
216.78949,326,799.468284
48.850044,105,800.021574
96.54994,180,800.939494
47.99003,101,801.499355
97.73997,171,802.352871
212.70953,324,803.822448
43.66004,104,804.419398
44.050034,105,805.011494
101.48995,191,806.009891
176.07983,292,807.348352
42.900047,110,807.921693
165.84987,275,810.258526
50.010056,99,810.849765
45.24003,106,811.452712
51.570038,103,812.056616
165.18987,271,813.310848
178.37958,302,814.678803
95.94996,180,815.568174
410.52963,437,817.565783
213.17958,327,819.034123
181.15971,294,821.408418
50.650024,105,822.052486
178.86969,283,823.368873
160.35979,269,824.609241
41.890076,111,825.220578
98.86997,193,826.117599
95.449936,170,827.010501
44.97003,103,827.594522
49.710022,109,828.208591
53.160034,99,828.787633
41.890068,111,829.425171
231.32959,362,831.095146
221.06955,328,833.564634
233.9396,361,835.209188
181.18967,301,836.540013
184.69974,290,837.843942
169.66965,268,839.148309
233.29962,360,840.821832
51.75004,105,841.385927
43.94004,106,842.946411
166.75986,274,844.252369
42.96006,104,844.790509
389.1896,401,846.541938
44.260033,104,847.113958
164.31992,278,848.566809
49.740044,106,849.17421
120.45992,214,850.230362
162.51971,278,851.467142
164.3599,274,853.692995
415.29965,440,855.700929
182.9896,301,857.105922
121.98991,211,858.067649
186.8097,299,859.51416
231.86964,373,861.234837
45.090027,111,861.817108
164.68983,271,863.074712
214.41959,323,865.526668
44.37004,103,866.092332
95.639984,171,867.008945
49.190018,111,867.615027
160.12971,277,868.922424
43.97004,103,869.50008
42.450066,105,870.030331
185.3997,300,871.344867
167.04993,275,872.598546
97.45998,169,873.450514
411.0795,462,876.513418
