#{"t_start": 1743710600.502121, "env_id": "None"}
r,l,t
169.46973,268,1596.854107
216.23972,321,1602.090674
224.42958,332,1604.623913
217.33966,321,1607.472503
222.1296,332,1609.834777
399.39948,400,1613.170667
77.180016,132,1614.479931
221.47955,327,1617.264825
171.2697,268,1622.631854
221.02959,332,1624.923035
167.75989,274,1626.920971
224.4996,335,1629.276066
222.06958,328,1631.689976
170.62991,277,1633.662923
166.91992,278,1639.221867
74.73001,127,1640.459019
223.18965,336,1642.740675
247.23952,371,1645.193815
222.59961,325,1647.706135
223.7396,331,1650.112908
78.48005,132,1651.54297
222.40952,334,1653.836816
395.59967,400,1659.781802
73.84003,126,1661.022048
216.9396,321,1663.310987
170.36969,268,1665.288513
399.19952,400,1668.278383
172.3697,258,1670.218119
224.67938,332,1675.029743
78.280045,132,1676.620053
170.15988,274,1678.591866
166.22987,277,1680.53123
222.16962,328,1683.347817
77.679985,132,1684.823438
169.96973,268,1686.814591
167.9199,278,1689.200368
224.53955,331,1691.77968
219.6297,322,1697.416454
397.6996,400,1700.089327
246.28973,371,1702.800704
215.93964,321,1705.065288
171.96974,268,1707.434124
167.32993,277,1709.725667
219.1196,323,1715.244397
77.48003,132,1716.568791
223.35962,329,1718.9286
224.56961,328,1721.334893
76.780014,132,1722.722535
78.58005,132,1724.00645
167.12991,277,1726.261055
217.53955,321,1728.433344
224.47961,337,1733.642023
224.28958,336,1735.867824
166.83989,276,1737.833345
170.36966,258,1739.86966
225.78957,336,1742.415993
220.99957,325,1744.829641
170.16971,268,1746.977882
171.86969,258,1751.750076
77.180016,132,1752.962
170.56969,268,1755.000088
77.38002,132,1756.151689
171.52994,277,1758.584242
222.50964,324,1761.030165
225.64957,330,1763.336519
225.62965,332,1765.594917
169.63991,276,1771.344727
170.43994,276,1773.259434
172.7297,262,1775.186594
225.42955,332,1777.987783
78.98006,132,1779.230098
216.93954,321,1782.004281
171.86967,268,1784.05756
225.66959,328,1789.951689
168.93994,276,1791.940987
71.28004,122,1793.227576
224.3596,329,1795.424831
224.52956,332,1797.8664
168.41995,278,1799.871838
223.95963,329,1802.393191
398.13977,401,1808.016443
223.72954,332,1810.212056
219.31964,323,1812.76048
78.38003,132,1813.989249
171.36974,268,1816.017906
398.9996,400,1818.97988
68.39001,121,1820.10083
78.87001,133,1821.308524
223.66962,338,1827.368317
171.47974,257,1829.256064
72.17005,123,1830.464283
169.53983,276,1832.821776
172.26984,268,1834.888947
71.18003,122,1836.425936
170.53989,276,1838.666997
226.57942,332,1841.230569
79.38002,132,1842.472991
226.6196,333,1847.523542
225.22963,332,1849.747575
112.549995,180,1851.21484
110.94999,180,1853.031898
169.41992,278,1855.191786
171.26973,268,1857.379224
75.73005,127,1858.935322
